fold_id,test_subject,model,brier_pre,brier_post
0,10,voting_ensemble,0.2728075721459025,0.3202954825980519
1,11,voting_ensemble,0.2735174486699921,0.3614206725900505
2,13,voting_ensemble,0.30557690542874516,0.2773322408875083
3,14,voting_ensemble,0.4709421820021484,0.5046410202880521
4,15,voting_ensemble,0.04132066910929347,0.04125747402860364
5,16,voting_ensemble,0.09883739708602503,0.09814772532645492
6,17,voting_ensemble,0.613887273851431,0.5944651801657626
7,2,voting_ensemble,0.287691754481021,0.2926253357722151
8,3,voting_ensemble,0.41279823881190636,0.4831541167876059
9,4,voting_ensemble,0.32513808505009906,0.3208808288225223
10,5,voting_ensemble,0.12878874635314635,0.13399988301959323
11,6,voting_ensemble,0.13067096459668381,0.11907427414168407
12,7,voting_ensemble,0.3393006627938791,0.3551493735831049
13,8,voting_ensemble,0.15353637745825327,0.18609197911870318
14,9,voting_ensemble,0.013636179882418702,0.022557220437971245
