subject,n_windows,subject_accuracy,mean_prob_class2,var_prob_class2,std_prob_class2,mean_true_label
10,81,0.9629629629629629,0.2930864197530864,0.1753783236882716,0.418781952438583,1.1604938271604939
11,79,0.9620253164556962,0.2909493670886076,0.1102151127880558,0.33198661537486085,1.139240506329114
13,79,0.8860759493670886,0.31876582278481014,0.17453058868873733,0.4177685826970924,1.139240506329114
14,79,0.9240506329113924,0.27208860759493675,0.09638612666342097,0.3104611516171081,1.139240506329114
15,79,0.9873417721518988,0.304367088607595,0.18265936992859486,0.4273866749544198,1.139240506329114
16,79,1.0,0.2940189873417721,0.190333720788705,0.43627253040812114,1.139240506329114
17,81,0.9135802469135802,0.33842592592592596,0.09978569444444452,0.31588873744476,1.1604938271604939
2,76,0.9210526315789473,0.28480263157894736,0.15796779385964915,0.3974516245527865,1.118421052631579
3,77,0.8831168831168831,0.3288961038961039,0.12197606801093638,0.3492507237085363,1.12987012987013
4,76,0.9605263157894737,0.27338815789473686,0.1732067839912281,0.41618119129920816,1.118421052631579
5,79,0.9873417721518988,0.2963924050632911,0.18311967096721846,0.4279248426619077,1.1265822784810127
6,78,0.9743589743589743,0.2907692307692308,0.18263966033966042,0.4273636160691039,1.1282051282051282
7,78,0.9615384615384616,0.3175,0.16375909090909094,0.40467158401485387,1.1282051282051282
8,79,0.9240506329113924,0.29813291139240505,0.17902010710808175,0.4231076779119965,1.139240506329114
9,78,1.0,0.28951923076923075,0.1907553665084915,0.43675549968888944,1.1282051282051282
