f1_macro,auroc_macro,pr_auc_macro,fold_id,test_subject,family
0.5929251700680273,0.9367593191122602,0.8838754567065971,0,10,core_stats
0.6994152046783625,0.9515645390645391,0.8975294395563372,1,11,core_stats
0.5903212348769294,0.8978738978738979,0.7514371664085683,2,13,core_stats
0.3734491315136476,0.8371582246582246,0.7175693260425966,3,14,core_stats
0.91830866807611,0.9984459984459985,0.9937782805429863,4,15,core_stats
0.8506725903986178,0.9898704898704899,0.971947514767181,5,16,core_stats
0.3908333333333333,0.7079364535246889,0.5577429494477959,6,17,core_stats
0.6609197412134988,0.9489367302375432,0.9049202855524815,7,2,core_stats
0.6838171593028207,0.867147421735505,0.7999516892813582,8,3,core_stats
0.5104395604395604,0.8687771126795516,0.7440255956740179,9,4,core_stats
0.8411152766282032,0.9775994892273961,0.9361097166577504,10,5,core_stats
0.9644702842377261,0.9926207695438465,0.9805519817775806,11,6,core_stats
0.6987585034013605,0.8467991214368027,0.7223901853013236,12,7,core_stats
0.8091382301908618,0.9445156945156946,0.8724345427216398,13,8,core_stats
1.0,1.0,1.0,14,9,core_stats
0.6331746031746032,0.911196102372573,0.7802111098798742,0,10,eda_only
0.621830550401979,0.7769887019887021,0.6572911662276307,1,11,eda_only
0.6181972789115646,0.8122808122808123,0.6412860405202958,2,13,eda_only
0.35632183908045983,0.8804529179529178,0.7041507906058997,3,14,eda_only
0.6688865019692086,0.9926296676296676,0.9781307449143765,4,15,eda_only
0.9263501582542061,0.9958052458052458,0.9898007644887917,5,16,eda_only
0.40792958943643876,0.5770630785336669,0.5759802698943687,6,17,eda_only
0.5822914061848795,0.9213149617621164,0.8050947858404434,7,2,eda_only
0.47861591466242626,0.6871762267882805,0.4609170249484162,8,3,eda_only
0.6210526315789474,0.8979729394363541,0.738332171342396,9,4,eda_only
0.7131809245437305,0.9750650521631311,0.9320948914978242,10,5,eda_only
0.7586069311445508,0.9804728509856715,0.9331483936683432,11,6,eda_only
0.5375731688024047,0.7756346800521828,0.5956020790138852,12,7,eda_only
0.6752887821795385,0.8535779535779536,0.6870665357389615,13,8,eda_only
0.9827450980392157,0.9987701282573078,0.9960810603262593,14,9,eda_only
0.27730294396961064,0.5097271464918524,0.37527195600474345,0,10,hrv_only
0.5040740740740741,0.7808393933393933,0.6106244580493836,1,11,hrv_only
0.3812125943273485,0.6432729432729433,0.5235875707361016,2,13,hrv_only
0.6392337210816876,0.9045983295983295,0.8371002604482373,3,14,hrv_only
0.6314529914529915,0.7444942444942445,0.6546048182412822,4,15,hrv_only
0.5925538914044661,0.7738544863544864,0.6029916635472673,5,16,hrv_only
0.5330097087378641,0.7830768904298316,0.6603783809815599,6,17,hrv_only
0.30718954248366015,0.5513572546092872,0.37075032090166243,7,2,hrv_only
0.36822317467478755,0.5907507862704046,0.42888398966872243,8,3,hrv_only
0.4023569023569024,0.6925347837949464,0.4630620997508248,9,4,hrv_only
0.39794339794339795,0.591996696521469,0.4521956259798842,10,5,hrv_only
0.4691358024691357,0.7628810622261013,0.5920184834463202,11,6,hrv_only
0.3740570259557601,0.6419696132349421,0.4786157492325073,12,7,hrv_only
0.4776422764227643,0.6856938856938856,0.5412387942551523,13,8,hrv_only
0.32330038933812516,0.6334067533482249,0.5260148940640644,14,9,hrv_only
0.5393939393939394,0.9700924347983171,0.9354076605903955,0,10,core_plus_composites
0.7045931982058705,0.9655901530901531,0.9234771494332658,1,11,core_plus_composites
0.6112528344671202,0.8872306372306372,0.7455543175589131,2,13,core_plus_composites
0.36079328756674295,0.7592388467388468,0.570000339801842,3,14,core_plus_composites
0.9588888888888888,0.9996114996114995,0.9980980557903635,4,15,core_plus_composites
0.9509147701918786,0.9970052470052471,0.9904268417881187,5,16,core_plus_composites
0.4425925925925926,0.7222416472416473,0.5465345690282974,6,17,core_plus_composites
0.7052504260816977,0.9583437264331574,0.9114053448346443,7,2,core_plus_composites
0.7323848238482386,0.8573106231979729,0.7928889297701506,8,3,core_plus_composites
0.5246314275440489,0.8812988276402911,0.7685359581069476,9,4,core_plus_composites
0.8266074351180733,0.9725745830396993,0.9188652792379135,10,5,core_plus_composites
0.9644702842377261,0.9946222462248103,0.9838337573593449,11,6,core_plus_composites
0.7196396527474659,0.8479959906520665,0.6909381120663212,12,7,core_plus_composites
0.8091382301908618,0.946901446901447,0.8767207640114761,13,8,core_plus_composites
1.0,1.0,1.0,14,9,core_plus_composites
0.7233701194050097,0.9173371939870528,0.843512471958533,mean,ALL,core_plus_composites
0.7056389392239374,0.9177336841284293,0.8489509420292143,mean,ALL,core_stats
0.6388030252242769,0.8690934213057722,0.7650125219271844,mean,ALL,eda_only
0.4452458957795051,0.6860302846453562,0.541155937687181,mean,ALL,hrv_only
