f1_macro,auroc_macro,pr_auc_macro,fold_id,test_subject,model
0.1574074074074074,0.4915017444429209,0.33398575052848734,0,10,logreg_shuffled
0.24179380490060098,0.5966501216501218,0.5215473746513482,1,11,logreg_shuffled
0.16286084599976436,0.4964069714069714,0.3605264828348995,2,13,logreg_shuffled
0.13768115942028986,0.5713162963162963,0.40489480492330737,3,14,logreg_shuffled
0.2619607843137255,0.35006720006720005,0.31559286766271716,4,15,logreg_shuffled
0.25234598123215013,0.7269514269514269,0.6323591956337454,5,16,logreg_shuffled
0.21652421652421652,0.4071223982988689,0.3148885685051603,6,17,logreg_shuffled
0.4614163614163614,0.7318986493783243,0.5443141182012733,7,2,logreg_shuffled
0.24645161290322581,0.5147575817313357,0.3843416144217649,8,3,logreg_shuffled
0.13107822410147993,0.5512304617995675,0.3912237759581205,9,4,logreg_shuffled
0.3189617855349505,0.5944467237439938,0.4642847536455363,10,5,logreg_shuffled
0.2776266600724395,0.4556763975939003,0.383208102909461,11,6,logreg_shuffled
0.13571889103804,0.4505642670637096,0.36106819380088157,12,7,logreg_shuffled
0.1503267973856209,0.5657386907386908,0.39360489877992483,13,8,logreg_shuffled
0.4576489533011272,0.570291717448908,0.45127090987187896,14,9,logreg_shuffled
0.24065356570342666,0.538308043242149,0.41714076082190044,mean,ALL,logreg_shuffled
